
Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,≥.500,<.500
1,PHA,AL,158,99,53,.651,4.7,3.3,1.4,-0.2,1.2,99-53,0,51-24,48-29,22-22,70-29,28-24,34-30,65-23
2,BSN,NL,158,94,59,.614,4.2,3.5,0.7,-0.1,0.6,89-64,5,51-25,43-34,33-20,63-35,31-24,42-23,52-36
3,IND,FL,157,88,65,.575,4.9,4.0,0.9,-0.1,0.8,91-62,-3,53-23,35-42,26-32,67-52,21-13,50-37,38-28
4,BOS,AL,159,91,62,.595,3.7,3.2,0.5,-0.1,0.4,87-66,4,44-31,47-31,23-22,59-37,32-25,38-27,53-35
5,CHI,FL,157,87,67,.565,4.0,3.3,0.7,-0.1,0.6,90-64,-3,43-34,44-33,28-29,67-58,20-9,48-40,39-27
6,NYG,NL,156,84,70,.545,4.3,3.7,0.6,-0.1,0.5,88-66,-4,43-36,41-34,18-25,62-54,22-16,33-33,51-37
7,BAL,FL,160,84,70,.545,4.0,3.9,0.1,0.0,0.1,79-75,5,53-26,31-44,37-20,72-64,12-6,45-43,39-27
8,STL,NL,157,81,72,.529,3.6,3.4,0.1,0.0,0.1,79-74,2,42-34,39-38,32-21,54-44,27-28,31-34,50-38
9,WSH,AL,158,81,73,.526,3.6,3.3,0.3,0.0,0.3,84-70,-3,40-33,41-40,30-34,65-54,16-18,32-34,49-39
10,BUF,FL,155,80,71,.530,4.0,3.9,0.1,0.0,0.1,78-73,2,47-29,33-42,24-24,70-61,10-10,40-47,40-24
11,DET,AL,157,80,73,.523,3.9,3.9,0.0,0.0,0.0,76-77,4,42-35,38-38,26-22,52-40,28-33,26-39,54-34
12,CHC,NL,156,78,76,.506,3.9,4.1,-0.2,0.0,-0.2,73-81,5,46-30,32-46,27-16,51-48,27-28,25-41,53-35
13,BTT,FL,157,77,77,.500,4.2,4.3,-0.1,0.0,-0.1,75-79,2,47-32,30-45,24-24,65-63,12-14,36-52,41-25
14,BRO,NL,154,75,79,.487,4.0,4.0,0.0,0.0,0.0,77-77,-2,45-34,30-45,27-27,46-52,29-27,37-51,38-28
15,SLB,AL,159,71,82,.464,3.3,3.9,-0.6,0.1,-0.5,65-88,6,42-36,29-46,27-21,53-53,18-29,38-50,33-32
16,PHI,NL,154,74,80,.480,4.2,4.5,-0.2,0.0,-0.2,73-81,1,48-30,26-50,22-24,60-68,14-12,38-50,36-30
17,NYY,AL,157,70,84,.455,3.4,3.5,-0.1,0.0,-0.1,75-79,-5,36-40,34-44,26-30,42-59,28-25,35-53,35-31
18,CHW,AL,157,70,84,.455,3.1,3.6,-0.5,0.1,-0.4,67-87,3,43-37,27-47,30-19,50-58,20-26,32-56,38-28
19,KCP,FL,154,67,84,.444,4.2,4.4,-0.3,0.0,-0.2,71-80,-4,37-36,30-48,24-26,59-73,8-11,48-62,19-22
20,PIT,NL,158,69,85,.448,3.2,3.4,-0.2,0.0,-0.2,72-82,-3,39-36,30-49,20-34,52-66,17-19,39-49,30-36
21,PBS,FL,154,64,86,.427,3.9,4.5,-0.6,0.1,-0.5,65-85,-1,37-37,27-49,25-34,45-72,19-14,44-64,20-22
22,SLM,FL,154,62,89,.411,3.7,4.5,-0.9,0.1,-0.7,61-90,1,32-43,30-46,27-26,52-78,10-11,39-71,23-18
23,CIN,NL,157,60,94,.390,3.4,4.1,-0.8,0.1,-0.7,63-91,-3,34-42,26-52,22-34,43-77,17-17,32-56,28-38
24,CLE,AL,157,51,102,.333,3.4,4.5,-1.1,0.1,-1.0,58-95,-7,32-47,19-55,16-30,35-78,16-24,26-62,25-40
,Avg,,,76,76,.500,3.9,3.9,,,,76-76,,42-33,33-42,25-25,56-57,20-19,37-46,39-30
