
Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,WSH,AL,153,99,53,.651,5.6,4.3,1.2,-0.1,1.1,93-59,6,46-30,53-23,13-6,36-17,66-36,33-17,25-19,74-34
2,NYG,NL,156,91,61,.599,4.1,3.3,0.8,-0.1,0.7,90-62,1,48-27,43-34,8-5,28-18,71-52,20-9,45-43,46-18
3,NYY,AL,152,91,59,.607,6.1,5.1,1.0,-0.1,0.9,88-62,3,51-23,40-36,1-9,23-24,66-38,25-21,20-23,71-36
4,PIT,NL,154,87,67,.565,4.3,4.0,0.3,0.0,0.3,82-72,5,50-27,37-40,9-8,30-25,58-46,29-21,42-46,45-21
5,CHC,NL,154,86,68,.558,4.2,3.5,0.7,-0.1,0.6,90-64,-4,56-23,30-45,6-5,18-24,73-58,13-10,47-41,39-27
6,PHA,AL,152,79,72,.523,5.8,5.6,0.1,0.0,0.1,77-74,2,46-29,33-43,9-3,20-21,64-55,15-17,20-23,59-49
7,BSN,NL,156,83,71,.539,3.5,3.4,0.1,0.0,0.1,80-74,3,45-31,38-40,10-12,26-29,71-60,12-11,47-41,36-30
8,CLE,AL,151,75,76,.497,4.3,4.4,-0.1,0.0,-0.1,74-77,1,45-32,30-44,12-3,29-23,53-52,22-24,21-42,54-34
9,STL,NL,154,82,71,.536,4.5,4.0,0.5,-0.1,0.4,85-68,-3,47-30,35-41,8-9,29-24,72-50,10-21,39-49,43-22
10,DET,AL,155,75,79,.487,4.7,4.7,-0.1,0.0,-0.1,76-78,-1,43-35,32-44,7-11,25-30,59-48,16-31,26-40,49-39
11,CHW,AL,151,67,83,.447,4.5,5.4,-0.9,0.1,-0.7,63-87,4,35-41,32-42,8-12,21-13,58-72,9-11,26-40,41-43
12,BRO,NL,157,65,88,.425,3.9,4.4,-0.5,0.1,-0.4,68-85,-3,36-41,29-47,4-4,18-26,41-69,24-19,42-67,23-21
13,BOS,AL,149,63,86,.423,4.7,5.1,-0.4,0.1,-0.3,69-80,-6,32-40,31-46,4-9,14-33,55-68,8-18,26-39,37-47
14,PHI,NL,152,60,92,.395,4.0,5.0,-1.0,0.1,-0.9,61-91,-1,32-40,28-52,6-7,26-20,52-74,8-18,37-72,23-20
15,CIN,NL,153,58,94,.382,3.2,4.2,-1.0,0.1,-0.8,58-94,0,37-42,21-52,5-6,24-33,44-72,14-22,39-70,19-24
16,SLB,AL,153,55,96,.364,4.4,5.4,-1.0,0.1,-0.9,62-89,-7,30-46,25-50,9-10,20-27,40-63,15-33,20-43,35-53
,Avg,,,76,76,.500,4.5,4.5,,,,76-76,,42-33,33-42,7-7,24-24,58-57,17-18,32-43,43-32
