
Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,≥.500,<.500
1,NYG,NL,158,106,47,.693,4.7,3.0,1.7,-0.2,1.5,106-47,0,56-26,50-21,22-19,89-37,17-9,35-31,71-16
2,BOS,AL,157,95,59,.617,3.9,3.0,0.9,-0.1,0.8,95-59,0,49-30,46-29,31-15,69-41,26-18,47-41,48-18
3,NYY,AL,155,92,59,.609,3.9,3.4,0.5,0.0,0.4,84-67,8,46-29,46-30,35-17,68-40,24-19,43-42,49-17
4,CHC,NL,156,93,60,.608,3.8,3.3,0.5,-0.1,0.5,87-66,6,49-27,44-33,29-18,81-53,12-7,33-32,60-28
5,CHW,AL,156,89,65,.578,3.8,3.1,0.8,-0.1,0.7,92-62,-3,50-27,39-38,33-24,59-41,30-24,43-45,46-20
6,CIN,NL,157,88,65,.575,4.4,3.5,0.9,-0.1,0.8,93-60,-5,49-27,39-38,24-18,77-60,11-5,29-36,59-29
7,CLE,AL,154,86,65,.570,4.2,3.1,1.1,-0.1,0.9,95-56,-9,44-31,42-34,17-28,66-45,20-20,41-44,45-21
8,PIT,NL,156,87,66,.569,4.3,3.8,0.5,-0.1,0.5,86-67,1,48-30,39-36,26-16,76-58,11-8,34-32,53-34
9,PHA,AL,155,81,70,.536,3.6,3.2,0.3,-0.1,0.3,83-68,-2,47-31,34-39,25-27,57-60,24-10,42-44,39-26
10,STL,NL,155,75,79,.487,3.9,3.8,0.0,0.0,0.0,78-76,-3,39-36,36-43,23-23,67-67,7-12,32-56,43-23
11,SLB,AL,156,65,87,.428,3.1,3.9,-0.8,0.1,-0.7,60-92,5,32-43,33-44,22-27,51-58,14-29,43-66,22-21
12,BRO,NL,154,56,97,.366,3.2,4.0,-0.8,0.1,-0.7,62-91,-6,31-44,25-53,17-34,43-79,13-18,23-64,33-33
13,DET,AL,162,62,90,.408,3.1,3.9,-0.8,0.1,-0.7,61-91,1,34-40,28-50,20-29,44-59,18-31,39-71,23-19
14,BSN,NL,155,55,98,.359,3.2,4.8,-1.7,0.2,-1.5,48-105,7,34-45,21-53,21-25,45-78,10-20,26-62,29-36
15,PHI,NL,155,52,100,.342,3.7,5.1,-1.4,0.2,-1.2,55-97,-3,28-43,24-57,16-25,46-80,6-20,26-61,26-39
16,WSH,AL,157,38,113,.252,2.8,4.7,-1.9,0.2,-1.7,41-110,-3,23-52,15-61,16-32,33-94,5-19,20-90,18-23
,Avg,,,76,76,.500,3.7,3.7,,,,76-75,,41-35,35-41,23-23,60-59,15-16,34-51,41-25
